id,number,assignment_group,assignment_group_vendor,cms_associated_service_name,cms_reporting_sector,cms_sector,cms_service_area,ip_address,cmdb_ci,ci_class,os,is_dmz,vulnerability,app_and_tech,category,software_group,summary,remediation_note,proof,last_opened,age_days,age,load_time_debt,eom_debt,ola_priority,is_critical_server,has_exploit,port,last_found,created_on,updated_on,load_datetime
,13,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.113,CI-1013,Server,Ubuntu 20.04,Yes,CVE-2024-53104,Kernel,Memory Corruption,Linux,Linux kernel contains an out of bounds write vulnerability in the UVC driver that could allow for physical escalation of privilege.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://lore.kernel.org/linux-cve-announce/2024120232-CVE-2024-53104-d781@gregkh/ ; https://nvd.nist.gov/vuln/detail/CVE-2024-53104,2/26/2025,21,30,6,4,High,Yes,Unknown,80,2/26/2025,2/5/2025,2/6/2025,2/12/2025 12:00
,14,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.114,CI-1014,Server,Windows Server 2012,No,CVE-2018-19410,PTRG Network Monitor,Local File Inclusion,Paessler,Paessler PRTG Network Monitor contains a local file inclusion vulnerability that allows a remote attacker to create users with elevated privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.paessler.com/prtg/history/prtg-18#18.2.41.1652 ; https://nvd.nist.gov/vuln/detail/CVE-2018-19410,2/25/2025,21,30,3,2,Medium,No,Unknown,80,2/25/2025,2/4/2025,2/5/2025,2/12/2025 12:00
,15,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.115,CI-1015,Server,Windows Server 2012,Yes,CVE-2018-9276,PRTG Network Monitor,Command Injection,Paessler,Paessler PRTG Network Monitor contains an OS command injection vulnerability that allows an attacker to execute commands via the web console.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.paessler.com/prtg/history/prtg-18#18.2.39 ; https://nvd.nist.gov/vuln/detail/CVE-2018-9276,2/25/2025,21,30,4,2,High,Yes,Unknown,80,2/25/2025,2/4/2025,2/5/2025,2/12/2025 12:00
,16,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.116,CI-1016,Server,Windows Server 2019,No,CVE-2024-29059,.NET Framework,Information Disclosure,Microsoft,"Microsoft .NET Framework contains an information disclosure vulnerability that exposes the ObjRef URI, enabling remote code execution.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29059 ; https://nvd.nist.gov/vuln/detail/CVE-2024-29059,2/25/2025,21,30,5,3,Medium,No,Unknown,443,2/25/2025,2/4/2025,2/5/2025,2/12/2025 12:00
,17,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.117,CI-1017,Server,Linux,Yes,CVE-2024-45195,OFBiz,Forced Browsing,Apache,Apache OFBiz contains a forced browsing vulnerability that allows a remote attacker to obtain unauthorized access.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://ofbiz.apache.org/security.html ; https://nvd.nist.gov/vuln/detail/CVE-2024-45195,2/25/2025,21,30,3,2,Low,No,Unknown,8080,2/25/2025,2/4/2025,2/5/2025,2/12/2025 12:00
,18,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.118,CI-1018,Server,macOS,No,CVE-2025-24085,Multiple Products,Use-After-Free,Apple,Apple products contain a use after free vulnerability that could allow privilege escalation.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://support.apple.com/en-us/122066 ; https://support.apple.com/en-us/122068 ; https://support.apple.com/en-us/122071 ; https://support.apple.com/en-us/122072 ; https://support.apple.com/en-us/122073 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24085,2/19/2025,21,30,4,3,High,Yes,TRUE,443,2/19/2025,1/29/2025,1/30/2025,2/12/2025 12:00
,19,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.119,CI-1019,Server,SonicOS,Yes,CVE-2025-23006,SMA1000 Appliances,Deserialization,SonicWall,SonicWall SMA1000 Appliances contain a deserialization vulnerability that can enable remote execution of OS commands.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2025-0002 ; https://nvd.nist.gov/vuln/detail/CVE-2025-23006,2/14/2025,21,30,5,3,High,Yes,Unknown,443,2/14/2025,1/24/2025,1/25/2025,2/12/2025 12:00
,20,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.120,CI-1020,Server,N/A,No,CVE-2020-11023,JQuery,XSS,JQuery,JQuery contains a persistent cross site scripting vulnerability when processing untrusted input enclosed in HTML tags.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://blog.jquery.com/2020/04/10/jquery-3-5-0-released/ ; https://nvd.nist.gov/vuln/detail/CVE-2020-11023,2/13/2025,21,30,2,1,Low,No,Unknown,80,2/13/2025,1/23/2025,1/24/2025,2/12/2025 12:00
,21,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.121,CI-1021,Server,Linux,Yes,CVE-2024-50603,Controllers,Command Injection,Aviatrix,Aviatrix Controllers contain an OS command injection vulnerability that could allow an unauthenticated attacker to execute arbitrary code.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://docs.aviatrix.com/documentation/latest/release-notes/psirt-advisories/psirt-advisories.html?expand=true ; https://nvd.nist.gov/vuln/detail/CVE-2024-50603,2/6/2025,21,30,4,2,Medium,No,Unknown,22,2/6/2025,1/16/2025,1/17/2025,2/12/2025 12:00
,22,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.122,CI-1022,Server,Windows Server 2019,No,CVE-2025-21335,Windows,Use-After-Free,Microsoft,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a use after free vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-21335 ; https://nvd.nist.gov/vuln/detail/CVE-2025-21335,2/4/2025,21,30,6,4,High,Yes,Unknown,3389,2/4/2025,1/14/2025,1/15/2025,2/12/2025 12:00
,23,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.123,CI-1023,Server,Windows Server 2019,Yes,CVE-2025-21334,Windows,Use-After-Free,Microsoft,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a use after free vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-21334 ; https://nvd.nist.gov/vuln/detail/CVE-2025-21334,2/4/2025,21,30,5,3,High,Yes,Unknown,3389,2/4/2025,1/14/2025,1/15/2025,2/12/2025 12:00
,24,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.124,CI-1024,Server,Windows Server 2019,No,CVE-2025-21333,Windows,Buffer Overflow,Microsoft,Microsoft Windows Hyper-V NT Kernel Integration VSP contains a heap based buffer overflow vulnerability that allows a local attacker to gain SYSTEM privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-21333 ; https://nvd.nist.gov/vuln/detail/CVE-2025-21333,2/4/2025,21,30,7,4,High,Yes,Unknown,3389,2/4/2025,1/14/2025,1/15/2025,2/12/2025 12:00
,25,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.125,CI-1025,Server,FortiOS,Yes,CVE-2024-55591,FortiOS and FortiProxy,Authentication Bypass,Fortinet,Fortinet FortiOS and FortiProxy contain an authentication bypass vulnerability that may allow remote super admin access.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://fortiguard.fortinet.com/psirt/FG-IR-24-535 ; https://nvd.nist.gov/vuln/detail/CVE-2024-55591,1/21/2025,21,30,5,3,High,Yes,Unknown,443,1/21/2025,1/14/2025,1/15/2025,2/12/2025 12:00
,26,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.126,CI-1026,Server,Windows Server 2016,No,CVE-2023-48365,Sense,Tunneling,Qlik,Qlik Sense contains an HTTP tunneling vulnerability that allows privilege escalation and execution of HTTP requests on the backend server.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://community.qlik.com/t5/Official-Support-Articles/Critical-Security-fixes-for-Qlik-Sense-Enterprise-for-Windows/tac-p/2120510 ; https://nvd.nist.gov/vuln/detail/CVE-2023-48365,2/3/2025,21,30,3,2,Medium,No,Unknown,80,2/3/2025,1/13/2025,1/14/2025,2/12/2025 12:00
,27,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.127,CI-1027,Server,Windows Server 2019,Yes,CVE-2024-12686,Privileged Remote Access (PRA) and Remote Support (RS),Command Injection,BeyondTrust,BeyondTrust PRA and RS contain an OS command injection vulnerability that can allow an attacker to upload a malicious file.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.beyondtrust.com/trust-center/security-advisories/bt24-11 ; https://nvd.nist.gov/vuln/detail/CVE-2024-12686,2/3/2025,21,30,4,3,Medium,No,Unknown,443,2/3/2025,1/13/2025,1/14/2025,2/12/2025 12:00
,28,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.128,CI-1028,Server,Windows Server 2019,No,CVE-2025-0282,"Connect Secure, Policy Secure, and ZTA Gateways",Buffer Overflow,Ivanti,"Ivanti Connect Secure, Policy Secure, and ZTA Gateways contain a stack based buffer overflow vulnerability that can lead to unauthenticated remote code execution.",Apply mitigations as set forth in the CISA instructions.,CISA Mitigation Instructions: https://www.cisa.gov/cisa-mitigation-instructions-CVE-2025-0282 Additional References: https://forums.ivanti.com/s/article/Security-Advisory-Ivanti-Connect-Secure-Policy-Secure-ZTA-Gateways-CVE-2025-0282-CVE-2025-0283 ; https://nvd.nist.gov/vuln/detail/CVE-2025-0282,1/15/2025,21,30,5,3,High,Yes,Unknown,443,1/15/2025,1/8/2025,1/9/2025,2/12/2025 12:00
,29,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.129,CI-1029,Server,Oracle Linux,Yes,CVE-2020-2883,WebLogic Server,Unknown,Oracle,Oracle WebLogic Server contains an unspecified vulnerability exploitable by an unauthenticated attacker via IIOP or T3.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.oracle.com/security-alerts/cpuapr2020.html ; https://nvd.nist.gov/vuln/detail/CVE-2020-2883,1/28/2025,21,30,4,2,Medium,No,Unknown,7001,1/28/2025,1/7/2025,1/8/2025,2/12/2025 12:00
,30,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.130,CI-1030,Server,Embedded Linux,No,CVE-2025-25746,DIR-853,Buffer Overflow,D-Link,D-Link DIR-853 A1 FW1.20B07 contains a stack based buffer overflow vulnerability via the Password parameter in the SetWanSettings module.,Apply vendor mitigations.,"Published: February 12, 2025; 12:15:24 PM -0500",2/12/2025,0,0,2,1,Low,No,Unknown,80,2/12/2025,2/12/2025,2/12/2025,2/12/2025 12:00
